,S11,S21,S31,S12,S22,S32,S13,S23,S33,20_log_of_mag_S11,20_log_of_mag_S21,20_log_of_mag_S31,degrees_S11,degrees_S21,degrees_S31
4.02,(-0.02141394370776631-0.03727212330611171j),(-0.8661176760094144+0.4979883422642993j),(-2.515949725285147e-05-5.366931934254692e-05j),(-0.8661176760094123+0.4979883422642982j),(-0.02143824174867081-0.03725814508628619j),(1.741245071259447e-05+5.629082059237669e-05j),(-2.515949725284406e-05-5.366931934253906e-05j),(1.741245071259407e-05+5.629082059236611e-05j),(0.9849050788992085-0.1730952804879299j),-27.333525205472682,-0.008032239651325072,-84.54272880090005,-119.87864911493581,150.10255590690946,-115.11658870443534
4.021,(-0.0214236584813577-0.0372778106795918j),(-0.866052670952387+0.4981005402497415j),(-2.522093817309425e-05-5.378644594015563e-05j),(-0.866052670952385+0.4981005402497404j),(-0.02144793580928931-0.03726383979582003j),(1.745591282154186e-05+5.641473982180245e-05j),(-2.52209381730867e-05-5.378644594014775e-05j),(1.745591282154148e-05+5.64147398217917e-05j),(0.9848975660698852-0.1731380223170022j),-27.331550986021696,-0.008035897378662631,-84.52338805577584,-119.886098703385,150.09511958540898,-115.12229425340752
4.022,(-0.02143337507143886-0.03728349588145541j),(-0.8659876510841831+0.4982127300638632j),(-2.5282610285606e-05-5.390400354330432e-05j),(-0.865987651084181+0.498212730063862j),(-0.02145763155458276-0.03726953241875163j),(1.749953934842663e-05+5.653911598856549e-05j),(-2.528261028559829e-05-5.39040035432964e-05j),(1.74995393484263e-05+5.653911598855461e-05j),(0.9848900513022457-0.1731807642959852j),-27.329577265855637,-0.008039555834014639,-84.50401894540715,-119.89354844650332,150.08768324038635,-115.12799977738261
4.023,(-0.02144309347923101-0.03728917891323617j),(-0.8659226164043561+0.498324911706956j),(-2.534451484609492e-05-5.402199448493261e-05j),(-0.8659226164043542+0.498324911706955j),(-0.02146732898510858-0.03727522295705957j),(1.754333118690022e-05+5.666395156686869e-05j),(-2.534451484608706e-05-5.402199448492461e-05j),(1.754333118689993e-05+5.666395156685765e-05j),(0.9848825345957937-0.1732235064273326j),-27.32760404423552,-0.008043215018274841,-84.48462136927773,-119.90099834483327,150.0802468716871,-115.13370527645382
4.024,(-0.02145281370596925-0.03729485977648184j),(-0.8658575669124496+0.4984370851793294j),(-2.540665311932432e-05-5.41404211147887e-05j),(-0.8658575669124474+0.4984370851793282j),(-0.02147702810143326-0.03728091141273966j),(1.758728923705916e-05+5.678924904874302e-05j),(-2.540665311931631e-05-5.414042111478065e-05j),(1.758728923705889e-05+5.678924904873183e-05j),(0.9848750159500286-0.1732662487135164j),-27.325631320419106,-0.008046874932322513,-84.46519522633155,-119.90844839892193,150.07281047915563,-115.13941075071668
4.025,(-0.0214625357529025-0.03730053847275421j),(-0.8657925026079945+0.4985492504813068j),(-2.546902637919382e-05-5.425928579958011e-05j),(-0.8657925026079922+0.4985492504813056j),(-0.02148672890413244-0.03728659778780507j),(1.763141440550284e-05+5.691501094420723e-05j),(-2.546902637918566e-05-5.425928579957203e-05j),(1.763141440550263e-05+5.69150109441959e-05j),(0.9848674953644467-0.1733089911570267j),-27.323659093660858,-0.008050535577066848,-84.44574041496895,-119.91589860932088,150.06537406263524,-115.14511620026883
4.026,(-0.02147225962129377-0.03730621500362939j),(-0.8657274234905107+0.4986614076132284j),(-2.553163590882215e-05-5.437859092312735e-05j),(-0.8657274234905087+0.4986614076132272j),(-0.02149643139379095-0.03729228208428649j),(1.767570760539258e-05+5.704123978143103e-05j),(-2.553163590881384e-05-5.437859092311921e-05j),(1.767570760539239e-05+5.704123978141955e-05j),(0.98485997283854-0.1733517337603723j),-27.32168736321192,-0.00805419695341222,-84.42625683304286,-119.92334897658634,150.0579376219682,-115.15082162521026
4.027,(-0.02148198531242028-0.03731188937069783j),(-0.8656623295595063+0.4987735565754507j),(-2.559448300063081e-05-5.449833888651901e-05j),(-0.8656623295595043+0.4987735565754496j),(-0.02150613557100294-0.0372979643042323j),(1.772016975651099e-05+5.716793810689952e-05j),(-2.559448300062234e-05-5.449833888651081e-05j),(1.772016975651085e-05+5.716793810688791e-05j),(0.9848524483717973-0.1733944765260808j),-27.319716128320096,-0.008057859062275546,-84.4067443778546,-119.93079950127934,150.05050115699544,-115.15652702564326
4.028,(-0.02149171282757348-0.03731756157556451j),(-0.8655972208144775+0.4988856973683466j),(-2.565756895642813e-05-5.461853210826795e-05j),(-0.8655972208144753+0.4988856973683455j),(-0.02151584143637196-0.03730364444970872j),(1.776480178532197e-05+5.729510848557884e-05j),(-2.565756895641951e-05-5.461853210825971e-05j),(1.776480178532188e-05+5.729510848556709e-05j),(0.9848449219637034-0.1734372194566986j),-27.317745388229795,-0.008061521904578577,-84.38720294615001,-119.9382501839654,150.04306466755685,-115.16223240167236
4.029,(-0.02150144216805934-0.03732323161984907j),(-0.8655320972549082+0.4989978299923055j),(-2.572089508749485e-05-5.47391730244699e-05j),(-0.865532097254906+0.4989978299923042j),(-0.02152554899051107-0.03730932252279998j),(1.780960462503158e-05+5.742275350108443e-05j),(-2.572089508748609e-05-5.473917302446161e-05j),(1.780960462503151e-05+5.742275350107253e-05j),(0.9848373936137393-0.1734799625547914j),-27.315775142182012,-0.008065185481256575,-84.36763243411546,-119.94570102521497,150.03562815349116,-115.16793775340444
4.03,(-0.02151117333519832-0.03732889950518586j),(-0.8654669588802706+0.4991099544477327j),(-2.578446271467002e-05-5.486026408896297e-05j),(-0.8654669588802684+0.4991099544477314j),(-0.02153525823404285-0.03731499852560847j),(1.785457921564913e-05+5.755087575585022e-05j),(-2.578446271466112e-05-5.486026408895462e-05j),(1.78545792156491e-05+5.755087575583816e-05j),(0.9848298633213821-0.1735227058229437j),-27.313805389414295,-0.008068849793253494,-84.34803273737373,-119.95315202560325,150.02819161463592,-115.17364308094872
4.031,(-0.0215209063303256-0.03733456523322421j),(-0.8654018056900243+0.499222070735051j),(-2.584827316843842e-05-5.498180777348972e-05j),(-0.8654018056900223+0.4992220707350498j),(-0.02154496916759954-0.03732067246025488j),(1.789972650404947e-05+5.767947787130049e-05j),(-2.584827316842933e-05-5.498180777348132e-05j),(1.789972650404948e-05+5.76794778712883e-05j),(0.9848223310861045-0.1735654492637597j),-27.311836129160696,-0.008072514841520044,-84.32840375097987,-119.96060318571026,150.0207550508274,-115.17934838441676
4.032,(-0.02153064115479126-0.03734022880562846j),(-0.8653366376836176+0.4993341788547005j),(-2.591232778901882e-05-5.510380656786124e-05j),(-0.8653366376836154+0.4993341788546992j),(-0.02155468179182319-0.03732634432887846j),(1.794504744403584e-05+5.780856248802395e-05j),(-2.591232778900958e-05-5.510380656785277e-05j),(1.794504744403589e-05+5.780856248801159e-05j),(0.984814796907376-0.1736081928798631j),-27.309867360651765,-0.00807618062700983,-84.30874536941704,-119.96805450612091,150.01331846190075,-115.18505366392243
4.033,(-0.02154037780996028-0.0373458902240781j),(-0.865271454860485+0.4994462788071374j),(-2.597662792645261e-05-5.522626298012124e-05j),(-0.8652714548604827+0.4994462788071362j),(-0.02156439610736561-0.03733201413363703j),(1.79905429964029e-05+5.79381322659478e-05j),(-2.597662792644323e-05-5.522626298011271e-05j),(1.799054299640299e-05+5.793813226593531e-05j),(0.984807260784662-0.1736509366738974j),-27.307899083114492,-0.00807984715069577,-84.28905748659248,-119.9755059874251,150.00588184768995,-115.19075891958208
4.034,(-0.02155011629721277-0.03735154949026796j),(-0.8652062572200492+0.4995583705928358j),(-2.604117494069426e-05-5.534917953671404e-05j),(-0.865206257220047+0.4995583705928345j),(-0.02157411211488855-0.0373376818767073j),(1.803621412900114e-05+5.806818988451593e-05j),(-2.604117494068474e-05-5.534917953670548e-05j),(1.803621412900127e-05+5.806818988450332e-05j),(0.9847997227174237-0.1736936806485262j),-27.305931295772297,-0.00808351441355271,-84.26933999583318,-119.98295763021756,149.99844520802762,-115.19646415151438
4.035,(-0.02155985661794412-0.03735720660590832j),(-0.8651410447617203+0.4996704542122869j),(-2.610597020170239e-05-5.547255878265364e-05j),(-0.8651410447617184+0.4996704542122858j),(-0.02158382981506382-0.03734334756028498j),(1.808206181680172e-05+5.819873804286815e-05j),(-2.610597020169271e-05-5.547255878264503e-05j),(1.808206181680188e-05+5.819873804285537e-05j),(0.9847921827051178-0.1737364248064328j),-27.303963997844953,-0.008087182416569009,-84.24959278988148,-119.9904094350982,149.99100854274533,-115.20216935984044
